participant	task	session	sequenceNumber	stimulus	response	reactionTime	interstimulusInterval	stepA	stepB	correctResponse	wasResponsecorrect
7	discrimination	1	10	"step1,step3"	same	1.312563013	0	step1	step3	different	no
7	discrimination	1	11	"step3,silence1000,step1"	same	1.138401118	1000	step3	step1	different	no
7	discrimination	1	12	"step3,silence1000,step3"	same	0.970530987	1000	step3	step3	same	yes
7	discrimination	1	13	"step3,silence1000,step5"	different	0.476654101	1000	step3	step5	different	yes
7	discrimination	1	14	"step3,silence2000,step1"	same	1.059017908	2000	step3	step1	different	no
7	discrimination	1	15	"step3,silence2000,step3"	same	0.344048888	2000	step3	step3	same	yes
7	discrimination	1	16	"step3,silence2000,step5"	same	1.642371924	2000	step3	step5	different	no
7	discrimination	1	17	"step3,silence250,step1"	same	0.702827918	250	step3	step1	different	no
7	discrimination	1	18	"step3,silence250,step3"	same	0.936792061	250	step3	step3	same	yes
7	discrimination	1	19	"step3,silence250,step5"	same	2.013753978	250	step3	step5	different	no
7	discrimination	1	20	"step3,silence500,step1"	same	0.658711086	500	step3	step1	different	no
7	discrimination	1	21	"step3,silence500,step3"	same	3.238879097	500	step3	step3	same	yes
7	discrimination	1	22	"step3,silence500,step5"	same	3.059257913	500	step3	step5	different	no
7	discrimination	1	23	"step3,step1"	same	2.187841898	0	step3	step1	different	no
7	discrimination	1	24	"step3,step3"	same	1.325624097	0	step3	step3	same	yes
7	discrimination	1	25	"step3,step5"	different	1.896603924	0	step3	step5	different	yes
7	discrimination	1	26	"step5,silence1000,step3"	same	1.357872979	1000	step5	step3	different	no
7	discrimination	1	27	"step5,silence1000,step5"	same	1.169291953	1000	step5	step5	same	yes
7	discrimination	1	28	"step5,silence1000,step7"	different	2.336420068	1000	step5	step7	different	yes
7	discrimination	1	29	"step5,silence2000,step3"	different	2.350575058	2000	step5	step3	different	yes
7	discrimination	1	30	"step5,silence2000,step5"	same	1.146352919	2000	step5	step5	same	yes
7	discrimination	1	31	"step5,silence2000,step7"	different	2.187411883	2000	step5	step7	different	yes
7	discrimination	1	32	"step5,silence250,step3"	different	1.252112055	250	step5	step3	different	yes
7	discrimination	1	33	"step5,silence250,step5"	same	5.427817895	250	step5	step5	same	yes
7	discrimination	1	34	"step5,silence250,step7"	different	1.657491027	250	step5	step7	different	yes
7	discrimination	1	35	"step5,silence500,step3"	same	4.654300093	500	step5	step3	different	no
7	discrimination	1	36	"step5,silence500,step5"	different	2.870571973	500	step5	step5	same	no
7	discrimination	1	37	"step5,silence500,step7"	different	0.869808052	500	step5	step7	different	yes
7	discrimination	1	38	"step5,step3"	different	0.850925973	0	step5	step3	different	yes
7	discrimination	1	39	"step5,step5"	same	3.015273956	0	step5	step5	same	yes
7	discrimination	1	40	"step5,step7"	different	2.007404926	0	step5	step7	different	yes
7	discrimination	1	41	"step7,silence1000,step5"	different	1.562466981	1000	step7	step5	different	yes
